original_image,new_image,split,type,augmentation_id
0015e00e-cae0-44c5-9f32-98a3eccecd3c.jpg,0015e00e-cae0-44c5-9f32-98a3eccecd3c.jpg,train,original,original
0015e00e-cae0-44c5-9f32-98a3eccecd3c.jpg,aa9655ae-03aa-4128-9156-c1290909a00d.jpg,train,augmented,aug_1
0015e00e-cae0-44c5-9f32-98a3eccecd3c.jpg,3646897d-0613-411d-969a-45ca4b05de99.jpg,train,augmented,aug_2
0015e00e-cae0-44c5-9f32-98a3eccecd3c.jpg,2d37bf8d-1547-41b3-a0ce-321865bbcbd6.jpg,train,augmented,aug_3
0054443f-5a04-4485-bc2e-2381d2d58303.jpg,0054443f-5a04-4485-bc2e-2381d2d58303.jpg,train,original,original
0054443f-5a04-4485-bc2e-2381d2d58303.jpg,f95a3e51-ae6c-4e09-bdd3-d7a8fa5f736c.jpg,train,augmented,aug_1
0054443f-5a04-4485-bc2e-2381d2d58303.jpg,c5af39fc-d3d0-47a2-95e1-e8f52991a04e.jpg,train,augmented,aug_2
0054443f-5a04-4485-bc2e-2381d2d58303.jpg,5bc2df38-c870-4b21-813d-8cc4db165dc3.jpg,train,augmented,aug_3
006e7d01-3851-459c-902b-44ce51fac64c.jpg,006e7d01-3851-459c-902b-44ce51fac64c.jpg,train,original,original
006e7d01-3851-459c-902b-44ce51fac64c.jpg,3533eece-51df-4026-8049-c72e210ac7e0.jpg,train,augmented,aug_1
006e7d01-3851-459c-902b-44ce51fac64c.jpg,f57d3f92-5681-487e-a352-5cab6ac50852.jpg,train,augmented,aug_2
006e7d01-3851-459c-902b-44ce51fac64c.jpg,6981f85c-4f75-46a2-a55a-ecf6c6d5bed5.jpg,train,augmented,aug_3
008a03ea-298d-4807-af08-7fcb12411afc.jpg,008a03ea-298d-4807-af08-7fcb12411afc.jpg,train,original,original
008a03ea-298d-4807-af08-7fcb12411afc.jpg,f239e651-538a-46c6-ba69-5cd9416ba062.jpg,train,augmented,aug_1
008a03ea-298d-4807-af08-7fcb12411afc.jpg,0a7f0f09-f475-451f-a39a-d93a1a8094ec.jpg,train,augmented,aug_2
008a03ea-298d-4807-af08-7fcb12411afc.jpg,62e5771b-666b-4d77-9ad1-fdc79274658f.jpg,train,augmented,aug_3
00bdd258-5a01-45d6-a49f-9cc6ce137efe.jpg,00bdd258-5a01-45d6-a49f-9cc6ce137efe.jpg,train,original,original
00bdd258-5a01-45d6-a49f-9cc6ce137efe.jpg,8bdc49c0-c6e2-47cd-b0b6-6f376bd4ed36.jpg,train,augmented,aug_1
00bdd258-5a01-45d6-a49f-9cc6ce137efe.jpg,50839c4c-2f3d-48dc-8a9f-42a97e204ba2.jpg,train,augmented,aug_2
00bdd258-5a01-45d6-a49f-9cc6ce137efe.jpg,eb093ac2-a7da-4a18-9bf5-8659cb2d29f7.jpg,train,augmented,aug_3
00bf47c2-aff3-4274-9e74-a15f1daa4ce7.jpg,00bf47c2-aff3-4274-9e74-a15f1daa4ce7.jpg,train,original,original
00bf47c2-aff3-4274-9e74-a15f1daa4ce7.jpg,c7c9c07e-aa8d-4006-810e-8efca25d0da7.jpg,train,augmented,aug_1
00bf47c2-aff3-4274-9e74-a15f1daa4ce7.jpg,ff237b77-d230-4363-b964-da8fd50130fc.jpg,train,augmented,aug_2
00bf47c2-aff3-4274-9e74-a15f1daa4ce7.jpg,ee3edea0-6741-4ecb-87b5-027fa9a23953.jpg,train,augmented,aug_3
00c8fe00-9c15-41ab-ad52-605e79df355b.jpg,00c8fe00-9c15-41ab-ad52-605e79df355b.jpg,train,original,original
00c8fe00-9c15-41ab-ad52-605e79df355b.jpg,081df9e1-0ce2-4b3f-8ce6-a014951bc79f.jpg,train,augmented,aug_1
00c8fe00-9c15-41ab-ad52-605e79df355b.jpg,a323fdc2-2546-453c-afcb-db2732cb04eb.jpg,train,augmented,aug_2
00c8fe00-9c15-41ab-ad52-605e79df355b.jpg,fa228505-60cd-447c-b299-d85700766674.jpg,train,augmented,aug_3
00d4929c-3669-42e8-83fa-e7ddaa0c90c0.jpg,00d4929c-3669-42e8-83fa-e7ddaa0c90c0.jpg,train,original,original
00d4929c-3669-42e8-83fa-e7ddaa0c90c0.jpg,9283f0ee-65f1-44a5-93af-d988ffa51446.jpg,train,augmented,aug_1
00d4929c-3669-42e8-83fa-e7ddaa0c90c0.jpg,2333706e-58f3-45c5-8dc9-f38292680a19.jpg,train,augmented,aug_2
00d4929c-3669-42e8-83fa-e7ddaa0c90c0.jpg,88cffd7e-b82c-4eb2-b43c-99dc58c7fa92.jpg,train,augmented,aug_3
00d709b9-0ef8-4d12-b36d-610b49508334.jpg,00d709b9-0ef8-4d12-b36d-610b49508334.jpg,train,original,original
00d709b9-0ef8-4d12-b36d-610b49508334.jpg,794420ac-f113-4a43-9ef8-072aa6131d59.jpg,train,augmented,aug_1
00d709b9-0ef8-4d12-b36d-610b49508334.jpg,6b6fe15c-7223-4bf4-9164-1d503bb3cf11.jpg,train,augmented,aug_2
00d709b9-0ef8-4d12-b36d-610b49508334.jpg,87498bec-7866-4293-88db-3b28cc2edb82.jpg,train,augmented,aug_3
01ca7b8f-b2de-43da-ade6-b8bcf1d96a85.jpg,01ca7b8f-b2de-43da-ade6-b8bcf1d96a85.jpg,train,original,original
01ca7b8f-b2de-43da-ade6-b8bcf1d96a85.jpg,3a132a1a-efcc-4fac-bf01-f08a3cafd730.jpg,train,augmented,aug_1
01ca7b8f-b2de-43da-ade6-b8bcf1d96a85.jpg,953265ca-a5c1-4db4-ba2d-6d635aaf1bc8.jpg,train,augmented,aug_2
01ca7b8f-b2de-43da-ade6-b8bcf1d96a85.jpg,ebae86ba-22c7-4c4e-b8e5-6a9106c6e01f.jpg,train,augmented,aug_3
01de04b1-c0e4-4af5-b2b8-95c1caa70f7b.jpg,01de04b1-c0e4-4af5-b2b8-95c1caa70f7b.jpg,train,original,original
01de04b1-c0e4-4af5-b2b8-95c1caa70f7b.jpg,d6c97041-22ed-4df0-ac6f-37b44c8ece2e.jpg,train,augmented,aug_1
01de04b1-c0e4-4af5-b2b8-95c1caa70f7b.jpg,0246df87-5c2b-4e6f-923d-c8b05808cac4.jpg,train,augmented,aug_2
01de04b1-c0e4-4af5-b2b8-95c1caa70f7b.jpg,61a1795d-b936-4331-964e-3bcb7c8d4cf5.jpg,train,augmented,aug_3
01e1333d-c4b7-455f-9224-a7bb67488940.jpg,01e1333d-c4b7-455f-9224-a7bb67488940.jpg,train,original,original
01e1333d-c4b7-455f-9224-a7bb67488940.jpg,6656f46f-86fe-4fd6-9ad7-816e43c89e63.jpg,train,augmented,aug_1
01e1333d-c4b7-455f-9224-a7bb67488940.jpg,1f4fe64a-235b-4f58-8915-5452afbc5b3d.jpg,train,augmented,aug_2
01e1333d-c4b7-455f-9224-a7bb67488940.jpg,37e74db9-f6ce-48a5-9f53-b9a5ee452db9.jpg,train,augmented,aug_3
01ee5b58-b451-4d74-bac5-020282325c3e.jpg,01ee5b58-b451-4d74-bac5-020282325c3e.jpg,train,original,original
01ee5b58-b451-4d74-bac5-020282325c3e.jpg,257bc103-e575-4501-8146-9128b43f923f.jpg,train,augmented,aug_1
01ee5b58-b451-4d74-bac5-020282325c3e.jpg,08017a5c-2b22-4a80-8a68-219754577d16.jpg,train,augmented,aug_2
01ee5b58-b451-4d74-bac5-020282325c3e.jpg,6eed0989-e665-4d59-b166-3ba3af8a2299.jpg,train,augmented,aug_3
01f4906c-87c6-48f6-9120-7906a0fe1675.jpg,01f4906c-87c6-48f6-9120-7906a0fe1675.jpg,train,original,original
01f4906c-87c6-48f6-9120-7906a0fe1675.jpg,26ef6026-3b1b-492a-b008-3e893a69b445.jpg,train,augmented,aug_1
