epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.16001,1.95337,4.12713,2.2197,0.03971,0.85526,0.32251,0.09186,1.92756,5.15762,3.38982,0.000647619,0.000647619,0.000647619
2,7.30115,1.8245,3.42129,2.11207,0.27544,0.26316,0.21131,0.07478,2.27965,5.0272,3.45203,0.00131425,0.00131425,0.00131425
3,10.3109,1.84164,3.27713,2.12754,0.11014,0.32895,0.08911,0.02691,2.84683,5.36932,4.21829,0.00198074,0.00198074,0.00198074
4,13.3062,1.8333,3.23018,2.14098,0.03619,0.02632,0.00198,0.00047,5.86655,7.82222,7.31985,0.00199951,0.00199951,0.00199951
5,16.2904,1.84665,3.17976,2.14217,0.07141,0.06579,0.02344,0.00832,4.25124,16.7509,5.53209,0.00199913,0.00199913,0.00199913
6,19.2909,1.79121,3.05505,2.08711,0.51247,0.44737,0.39809,0.13398,2.1177,4.08165,3.19065,0.00199864,0.00199864,0.00199864
7,22.3905,1.74694,2.91014,2.07055,0.27748,0.46053,0.26845,0.09266,2.16465,5.36038,2.90487,0.00199805,0.00199805,0.00199805
8,25.5081,1.75069,2.84012,2.03569,0.38666,0.40789,0.31202,0.10597,2.22502,4.00907,2.8304,0.00199734,0.00199734,0.00199734
9,28.6456,1.7115,2.81027,2.02154,0.59492,0.59211,0.55514,0.19485,2.21722,2.89478,3.01308,0.00199653,0.00199653,0.00199653
10,31.8786,1.71568,2.73598,2.01528,0.70009,0.58363,0.65701,0.27278,2.005,2.89394,2.70798,0.00199561,0.00199561,0.00199561
11,35.1193,1.65196,2.65594,1.97985,0.82775,0.69737,0.70888,0.25519,1.99736,2.75723,2.75971,0.00199458,0.00199458,0.00199458
12,38.1526,1.65937,2.63585,1.96968,0.42945,0.43421,0.41932,0.18552,1.90997,3.82655,2.55088,0.00199344,0.00199344,0.00199344
13,41.1243,1.67213,2.63428,1.98948,0.65154,0.73684,0.76827,0.30285,1.85416,2.86112,2.50617,0.00199219,0.00199219,0.00199219
14,44.1802,1.66173,2.6514,1.98265,0.70355,0.6246,0.62599,0.22202,2.12535,2.88859,2.91296,0.00199084,0.00199084,0.00199084
15,47.1734,1.69534,2.68528,2.00582,0.6933,0.63158,0.67317,0.20614,2.23407,2.78822,3.1064,0.00198938,0.00198938,0.00198938
16,50.1501,1.58639,2.51378,1.9407,0.94718,0.80263,0.91213,0.35087,1.9031,1.93704,2.64108,0.00198781,0.00198781,0.00198781
17,53.2291,1.61677,2.494,1.94296,0.39005,0.63108,0.44432,0.18674,1.78732,3.4877,2.3514,0.00198614,0.00198614,0.00198614
18,56.3279,1.60294,2.4995,1.94127,0.88038,0.77477,0.82945,0.3729,1.85773,1.82319,2.60138,0.00198435,0.00198435,0.00198435
19,59.5168,1.60581,2.43977,1.93155,0.62515,0.77632,0.73398,0.32919,1.5997,2.46181,2.23515,0.00198246,0.00198246,0.00198246
20,62.7596,1.61023,2.44193,1.93088,0.74844,0.56579,0.67669,0.31901,1.92737,2.48245,2.43336,0.00198047,0.00198047,0.00198047
21,65.92,1.58843,2.41092,1.90421,0.72472,0.53947,0.63429,0.23874,1.9921,3.52692,2.64524,0.00197837,0.00197837,0.00197837
22,68.9715,1.58579,2.3267,1.90416,0.743,0.79886,0.78371,0.27244,2.02995,2.07468,2.71555,0.00197616,0.00197616,0.00197616
23,72.1606,1.58473,2.40182,1.89673,0.77326,0.8526,0.79296,0.29156,2.09714,2.35313,2.87874,0.00197384,0.00197384,0.00197384
24,75.3289,1.56522,2.35734,1.90276,0.79127,0.85526,0.85741,0.37522,1.81873,2.06215,2.3708,0.00197142,0.00197142,0.00197142
25,78.3848,1.59741,2.34433,1.92381,0.71188,0.75,0.7405,0.31718,1.7886,2.74996,2.4359,0.0019689,0.0019689,0.0019689
