epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.47671,1.86584,4.56444,1.9873,0.52009,0.15231,0.30703,0.11004,1.9624,4.3193,2.43645,0.00054845,0.00054845,0.00054845
2,15.5779,1.96496,4.06729,2.10481,0.17318,0.32917,0.17729,0.04961,2.29689,4.72025,2.887,0.0011041,0.0011041,0.0011041
3,22.2421,1.99148,3.99174,2.13388,0.19666,0.47904,0.20033,0.05871,2.29079,6.78977,2.80652,0.00165968,0.00165968,0.00165968
4,28.8533,1.97931,3.91539,2.15093,0.28809,0.35833,0.25898,0.07761,2.55146,4.20411,2.98848,0.00166677,0.00166677,0.00166677
5,35.8652,1.94839,3.70695,2.08573,0.38421,0.37454,0.31768,0.12388,2.331,4.55603,2.92882,0.00166659,0.00166659,0.00166659
6,42.7838,1.9432,3.64619,2.09726,0.33931,0.38326,0.2718,0.08697,2.26967,5.25633,2.59874,0.00166636,0.00166636,0.00166636
7,49.4785,1.90852,3.48566,2.05609,0.54048,0.43149,0.43165,0.15373,2.2828,3.71702,2.55889,0.00166608,0.00166608,0.00166608
8,56.2528,1.90109,3.40821,2.03102,0.58018,0.5641,0.49753,0.20957,2.10973,3.5437,2.46856,0.00166575,0.00166575,0.00166575
9,62.72,1.85388,3.33365,2.01932,0.66007,0.62591,0.62501,0.23709,2.06241,3.30269,2.37944,0.00166537,0.00166537,0.00166537
10,69.2634,1.84948,3.23054,2.00497,0.6774,0.55516,0.63156,0.23477,2.111,3.44994,2.42234,0.00166494,0.00166494,0.00166494
11,76.0033,1.83007,3.21445,1.99228,0.60842,0.56936,0.62549,0.26882,2.13111,2.79367,2.4241,0.00166446,0.00166446,0.00166446
12,82.6034,1.81853,3.18514,1.98052,0.76542,0.5943,0.66026,0.2489,2.31693,2.85072,2.67475,0.00166392,0.00166392,0.00166392
13,89.332,1.81865,3.08002,1.97838,0.80409,0.56988,0.69412,0.27842,2.22524,2.56691,2.48775,0.00166334,0.00166334,0.00166334
14,96.2402,1.80728,3.09559,1.96327,0.69176,0.5841,0.65855,0.26451,2.16171,2.79241,2.4098,0.0016627,0.0016627,0.0016627
15,102.921,1.80147,3.11675,1.96413,0.70367,0.63456,0.68756,0.2773,2.18325,2.54938,2.459,0.00166202,0.00166202,0.00166202
16,109.457,1.7757,3.03008,1.925,0.58475,0.63269,0.61296,0.24929,2.26884,3.18238,2.66461,0.00166128,0.00166128,0.00166128
17,116.182,1.78746,3.03765,1.93923,0.66586,0.6648,0.65352,0.27943,2.03426,2.58351,2.31031,0.00166049,0.00166049,0.00166049
18,122.746,1.76809,2.98382,1.93932,0.752,0.71898,0.77947,0.36102,2.01874,2.12156,2.30019,0.00165966,0.00165966,0.00165966
19,129.674,1.74695,2.94829,1.93076,0.78591,0.63935,0.74612,0.35725,1.91486,2.18389,2.18564,0.00165877,0.00165877,0.00165877
20,136.22,1.73813,2.85541,1.90594,0.72577,0.66435,0.72593,0.3467,1.96118,2.26979,2.23639,0.00165783,0.00165783,0.00165783
21,142.931,1.73005,2.91531,1.89997,0.70338,0.74835,0.75074,0.3428,2.0296,2.19097,2.23915,0.00165684,0.00165684,0.00165684
22,149.514,1.74733,2.8627,1.90587,0.55857,0.56079,0.55494,0.24266,2.15116,3.30952,2.49289,0.0016558,0.0016558,0.0016558
23,156.27,1.69972,2.8087,1.87888,0.84626,0.71852,0.81281,0.40277,1.93585,1.98758,2.22897,0.00165471,0.00165471,0.00165471
24,162.995,1.71162,2.83068,1.87379,0.74551,0.65648,0.71423,0.30889,2.05591,2.42627,2.31981,0.00165357,0.00165357,0.00165357
25,169.68,1.73052,2.78822,1.90682,0.73303,0.65338,0.70941,0.33039,2.03573,2.22005,2.3516,0.00165238,0.00165238,0.00165238
26,176.171,1.69337,2.74588,1.86904,0.82274,0.70278,0.79715,0.39892,1.88272,2.08086,2.1458,0.00165114,0.00165114,0.00165114
27,182.788,1.69074,2.73097,1.8645,0.71034,0.74167,0.77902,0.38009,1.82397,2.08208,2.09317,0.00164986,0.00164986,0.00164986
28,189.469,1.69513,2.74611,1.87104,0.79219,0.73426,0.78776,0.3966,1.9216,2.0983,2.18509,0.00164852,0.00164852,0.00164852
29,196.103,1.69991,2.7203,1.85304,0.78839,0.72994,0.80466,0.40527,1.84339,2.17359,2.12504,0.00164713,0.00164713,0.00164713
30,202.759,1.6844,2.72117,1.84925,0.76483,0.76797,0.80774,0.40043,1.86288,1.96545,2.10861,0.00164569,0.00164569,0.00164569
31,209.411,1.68498,2.66259,1.84747,0.78059,0.63287,0.74526,0.35916,1.91289,2.26933,2.14845,0.0016442,0.0016442,0.0016442
32,216.005,1.66639,2.61467,1.82433,0.8013,0.73704,0.78486,0.36175,1.97136,2.02437,2.24844,0.00164266,0.00164266,0.00164266
33,222.633,1.66246,2.59413,1.84179,0.85644,0.73426,0.81639,0.3868,1.97186,1.98726,2.19341,0.00164108,0.00164108,0.00164108
34,229.313,1.66223,2.63972,1.82498,0.76296,0.72922,0.79142,0.39311,1.90127,2.16976,2.15442,0.00163944,0.00163944,0.00163944
35,235.827,1.66154,2.6089,1.82835,0.66587,0.53331,0.6671,0.28179,2.01346,2.87741,2.24223,0.00163775,0.00163775,0.00163775
36,242.708,1.65976,2.56895,1.82528,0.77619,0.70702,0.76657,0.39521,1.82224,2.07436,2.03514,0.00163602,0.00163602,0.00163602
37,249.285,1.67192,2.60222,1.82927,0.81677,0.70046,0.77686,0.38474,1.90365,1.96521,2.21904,0.00163424,0.00163424,0.00163424
38,255.863,1.63874,2.5791,1.82192,0.82312,0.68796,0.83507,0.4251,1.77019,1.93251,1.98622,0.0016324,0.0016324,0.0016324
39,262.401,1.65147,2.60812,1.82612,0.82759,0.73472,0.82184,0.43197,1.87424,1.86304,2.09108,0.00163052,0.00163052,0.00163052
40,269.182,1.63348,2.54671,1.8134,0.84488,0.76892,0.82188,0.40377,1.93601,1.9157,2.2081,0.00162859,0.00162859,0.00162859
41,275.795,1.63572,2.55548,1.81612,0.7886,0.73472,0.77584,0.37258,1.9376,2.03969,2.17604,0.00162661,0.00162661,0.00162661
42,282.465,1.61965,2.54117,1.8079,0.8564,0.80149,0.83532,0.44758,1.77242,1.78813,2.01992,0.00162459,0.00162459,0.00162459
43,289.143,1.5987,2.52192,1.78651,0.86298,0.7787,0.83213,0.44479,1.77486,1.79695,1.98643,0.00162251,0.00162251,0.00162251
44,295.804,1.61761,2.50401,1.78791,0.79704,0.78018,0.81588,0.44962,1.80792,1.84653,2.06812,0.00162039,0.00162039,0.00162039
45,302.458,1.60578,2.44427,1.79668,0.88139,0.76481,0.85412,0.45282,1.79894,1.66259,2.03253,0.00161822,0.00161822,0.00161822
46,308.906,1.58888,2.43073,1.76628,0.79723,0.76389,0.82721,0.44188,1.87186,1.85605,2.09465,0.001616,0.001616,0.001616
47,315.553,1.58246,2.43858,1.78098,0.80684,0.80185,0.82674,0.47036,1.6615,1.67932,1.92576,0.00161373,0.00161373,0.00161373
48,322.308,1.57212,2.43364,1.77368,0.84307,0.78241,0.82733,0.4362,1.77211,1.8219,2.03633,0.00161142,0.00161142,0.00161142
49,329.003,1.6253,2.49419,1.79203,0.84477,0.74491,0.81884,0.44353,1.83329,1.87276,2.02601,0.00160905,0.00160905,0.00160905
50,335.607,1.5818,2.37988,1.75877,0.83432,0.76898,0.84113,0.45822,1.7927,1.70232,2.00438,0.00160664,0.00160664,0.00160664
