epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.67558,1.90708,4.14297,2.2076,0.00324,0.88312,0.28874,0.08767,2.13735,5.45487,3.13326,0.000647619,0.000647619,0.000647619
2,7.9962,1.84437,3.41295,2.14205,0.04267,0.20779,0.04239,0.01568,3.37109,6.90712,4.28423,0.00131425,0.00131425,0.00131425
3,11.1894,1.84191,3.25903,2.135,0.07571,0.15584,0.05001,0.01467,2.81125,21.243,3.9816,0.00198074,0.00198074,0.00198074
4,14.3519,1.79736,3.1294,2.09321,0.38452,0.31169,0.28409,0.0886,2.65029,3.81425,3.51965,0.00199951,0.00199951,0.00199951
5,17.8912,1.80554,3.09989,2.10709,0.13037,0.35065,0.11521,0.02722,2.67431,7.76509,3.60363,0.00199913,0.00199913,0.00199913
6,20.9948,1.82836,3.07873,2.12471,0.07955,0.16883,0.04041,0.01309,3.06435,10.3476,3.45709,0.00199864,0.00199864,0.00199864
7,24.0872,1.72195,2.88855,2.06984,0.27334,0.33223,0.20237,0.04853,2.42198,5.13537,2.99808,0.00199805,0.00199805,0.00199805
8,27.1711,1.73904,2.81905,2.03229,0.44944,0.58442,0.50768,0.18423,1.95083,5.15759,2.69252,0.00199734,0.00199734,0.00199734
9,30.2389,1.74142,2.75403,2.03655,0.71147,0.44841,0.57163,0.19337,2.13427,3.28485,2.72499,0.00199653,0.00199653,0.00199653
10,33.322,1.71247,2.7222,2.00729,0.62359,0.68831,0.65541,0.2511,2.12514,2.81043,2.78217,0.00199561,0.00199561,0.00199561
11,36.4374,1.6978,2.65167,1.97937,0.53156,0.64935,0.53186,0.20522,2.00095,3.29869,2.65495,0.00199458,0.00199458,0.00199458
12,39.5625,1.65647,2.68258,1.99158,0.65764,0.74026,0.73509,0.35947,1.75522,2.69567,2.37284,0.00199344,0.00199344,0.00199344
13,42.6637,1.60874,2.50757,1.92935,0.76974,0.74026,0.78909,0.37294,1.80636,2.22749,2.50534,0.00199219,0.00199219,0.00199219
14,45.7772,1.67717,2.56433,1.97492,0.76902,0.66234,0.72627,0.24697,2.0651,2.92554,2.80196,0.00199084,0.00199084,0.00199084
15,48.8987,1.68123,2.58627,1.96235,0.71889,0.7639,0.81529,0.33869,1.93861,3.00737,2.68118,0.00198938,0.00198938,0.00198938
16,52.0688,1.64262,2.5258,1.96064,0.63151,0.71223,0.75974,0.30652,1.7468,2.924,2.38186,0.00198781,0.00198781,0.00198781
17,55.2335,1.63833,2.4377,1.94776,0.48477,0.48052,0.48091,0.19136,1.95295,3.94616,2.49831,0.00198614,0.00198614,0.00198614
18,58.4391,1.60379,2.49822,1.94481,0.62558,0.64935,0.65238,0.24856,2.03613,3.19508,2.59373,0.00198435,0.00198435,0.00198435
19,61.8498,1.59056,2.46455,1.91892,0.74542,0.77922,0.8318,0.39941,1.67592,2.66615,2.32304,0.00198246,0.00198246,0.00198246
20,65.074,1.62582,2.43575,1.93486,0.71908,0.77922,0.81922,0.42462,1.62868,2.41927,2.23874,0.00198047,0.00198047,0.00198047
21,68.2765,1.57531,2.39781,1.89813,0.81476,0.79221,0.85975,0.41719,1.81725,1.97348,2.49891,0.00197837,0.00197837,0.00197837
22,71.4815,1.58265,2.39907,1.90032,0.74908,0.73666,0.69725,0.29059,2.02967,2.25624,2.80269,0.00197616,0.00197616,0.00197616
23,74.6847,1.59831,2.366,1.90366,0.57934,0.66234,0.53903,0.18064,1.95328,3.89686,2.73442,0.00197384,0.00197384,0.00197384
24,77.898,1.55134,2.33792,1.88062,0.73169,0.74378,0.78046,0.30061,1.92164,2.63158,2.54765,0.00197142,0.00197142,0.00197142
25,81.1156,1.59486,2.35651,1.92653,0.82528,0.79221,0.86692,0.37773,1.76196,2.12578,2.42231,0.0019689,0.0019689,0.0019689
26,84.3178,1.58426,2.43604,1.89909,0.82459,0.73267,0.78417,0.38828,1.78365,2.49559,2.41307,0.00196627,0.00196627,0.00196627
27,87.5162,1.60087,2.45011,1.90035,0.52707,0.55844,0.48562,0.16195,2.25082,3.5304,2.81313,0.00196353,0.00196353,0.00196353
28,90.7323,1.58046,2.38414,1.90595,0.72113,0.74026,0.76716,0.32981,1.74575,2.5429,2.37843,0.00196069,0.00196069,0.00196069
29,93.9349,1.56979,2.2412,1.87351,0.81933,0.88342,0.91301,0.48363,1.58304,2.42093,2.18665,0.00195775,0.00195775,0.00195775
30,97.1511,1.5782,2.27042,1.88991,0.82429,0.83117,0.87936,0.37817,1.9886,2.03431,2.70975,0.0019547,0.0019547,0.0019547
31,100.521,1.50449,2.21778,1.86009,0.87423,0.81248,0.85035,0.36926,1.90582,1.76122,2.5828,0.00195155,0.00195155,0.00195155
32,103.736,1.55222,2.2868,1.87446,0.85674,0.77671,0.8264,0.36023,2.20088,2.06406,2.99907,0.00194829,0.00194829,0.00194829
33,106.959,1.49927,2.17015,1.82171,0.80213,0.76623,0.6956,0.30761,2.01536,2.14395,2.83099,0.00194493,0.00194493,0.00194493
34,110.171,1.49617,2.1582,1.82355,0.81761,0.87013,0.914,0.45275,1.62072,1.89122,2.2243,0.00194147,0.00194147,0.00194147
35,113.405,1.54745,2.20845,1.8666,0.85288,0.9035,0.91382,0.40282,1.91001,2.21194,2.55176,0.00193791,0.00193791,0.00193791
36,116.608,1.51485,2.14099,1.84373,0.85985,0.87648,0.92406,0.49334,1.63217,1.92592,2.17731,0.00193424,0.00193424,0.00193424
37,119.81,1.47561,2.07506,1.80587,0.84253,0.83117,0.87339,0.47093,1.63103,2.03508,2.21453,0.00193048,0.00193048,0.00193048
38,123.029,1.5062,2.07985,1.83766,0.80068,0.88694,0.91926,0.48459,1.51758,1.78156,2.19659,0.00192661,0.00192661,0.00192661
39,126.247,1.4958,2.16034,1.85249,0.86944,0.90909,0.93825,0.50039,1.56788,1.64241,2.16439,0.00192264,0.00192264,0.00192264
40,129.487,1.44831,2.06858,1.80303,0.88921,0.83395,0.91464,0.51495,1.4955,1.73265,2.06653,0.00191858,0.00191858,0.00191858
41,132.673,1.43794,2.05301,1.78633,0.66947,0.63136,0.68745,0.31278,1.68656,2.45058,2.27509,0.00191441,0.00191441,0.00191441
42,135.88,1.48283,1.95764,1.80934,0.87024,0.80519,0.88927,0.41248,1.88118,1.84149,2.56049,0.00191014,0.00191014,0.00191014
43,139.14,1.51669,2.10951,1.84804,0.82672,0.80551,0.88067,0.43318,1.81386,2.04486,2.40328,0.00190578,0.00190578,0.00190578
44,142.276,1.45629,1.99989,1.78015,0.92947,0.85578,0.94536,0.52224,1.6553,1.9054,2.19732,0.00190132,0.00190132,0.00190132
45,145.457,1.44857,2.01168,1.79384,0.89978,0.87013,0.89753,0.52205,1.55521,1.5547,2.13349,0.00189675,0.00189675,0.00189675
46,148.542,1.48261,2.11828,1.83476,0.91286,0.88312,0.94239,0.50275,1.62729,1.74789,2.21078,0.0018921,0.0018921,0.0018921
47,151.49,1.44801,2.03525,1.78516,0.76803,0.81818,0.8098,0.43676,1.66416,2.1471,2.29494,0.00188734,0.00188734,0.00188734
48,154.392,1.46003,2.04435,1.79438,0.86414,0.83117,0.91127,0.49049,1.53837,1.83274,2.18765,0.00188249,0.00188249,0.00188249
49,157.319,1.40418,1.905,1.73713,0.85595,0.75325,0.85353,0.46633,1.69594,1.71002,2.27276,0.00187754,0.00187754,0.00187754
50,160.394,1.43364,1.9739,1.77158,0.87808,0.8961,0.91353,0.51066,1.63837,1.63822,2.25063,0.0018725,0.0018725,0.0018725
51,163.449,1.44009,1.98239,1.78448,0.92351,0.90909,0.9344,0.46793,1.85856,1.51508,2.52503,0.00186737,0.00186737,0.00186737
52,166.472,1.45229,2.0408,1.793,0.81168,0.74026,0.84022,0.41247,1.85066,1.92117,2.54422,0.00186213,0.00186213,0.00186213
53,169.446,1.4111,1.92169,1.75759,0.85348,0.75652,0.85873,0.41012,1.73692,1.83545,2.3192,0.00185681,0.00185681,0.00185681
