epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.02438,1.34685,3.9749,1.99145,0.91728,0.28811,0.73083,0.40311,1.15667,4.6464,2.06089,0.000388571,0.000388571,0.000388571
2,8.35971,1.15767,2.76813,1.77943,0.69868,0.54545,0.63646,0.2483,1.56578,4.55009,2.69207,0.000788559,0.000788559,0.000788559
3,11.6105,1.27482,2.76568,1.85048,0.52932,0.56961,0.50217,0.12802,2.04543,4.53949,4.26925,0.0011885,0.0011885,0.0011885
4,14.8413,1.40031,2.70498,1.98216,0.36255,0.51948,0.34719,0.10093,2.23807,3.44941,3.89547,0.00158835,0.00158835,0.00158835
5,17.9741,1.37236,2.5884,1.95094,0.08429,0.23377,0.05578,0.0128,2.3796,4.88385,3.38871,0.00198809,0.00198809,0.00198809
6,21.0725,1.33267,2.4612,1.91614,0.18613,0.07792,0.04262,0.01148,3.75215,5.06922,4.88139,0.00199924,0.00199924,0.00199924
7,24.6072,1.30881,2.27218,1.87957,0.44902,0.46753,0.40515,0.11873,1.86504,3.59773,3.0547,0.0019989,0.0019989,0.0019989
8,27.7947,1.32589,2.11006,1.88969,0.49678,0.67952,0.59701,0.24418,1.87071,2.86811,3.09098,0.0019985,0.0019985,0.0019985
9,31.1072,1.33309,2.16688,1.89732,0.6339,0.66234,0.64347,0.21012,2.16952,3.74614,3.72761,0.00199805,0.00199805,0.00199805
10,34.4017,1.2227,1.93414,1.78992,0.74,0.67532,0.71729,0.31285,1.54251,2.51976,2.4628,0.00199753,0.00199753,0.00199753
11,37.6773,1.28032,1.94569,1.85053,0.74053,0.61039,0.73904,0.28923,1.65233,2.57678,2.43354,0.00199695,0.00199695,0.00199695
12,40.8956,1.26033,1.96269,1.84732,0.68938,0.76623,0.73849,0.31803,1.69856,2.48095,2.86904,0.00199631,0.00199631,0.00199631
13,44.1346,1.23475,1.8454,1.77851,0.72353,0.71429,0.78115,0.34199,1.54907,3.1744,2.535,0.00199561,0.00199561,0.00199561
14,47.4007,1.23685,1.86378,1.80847,0.57944,0.71429,0.67372,0.285,1.60968,3.22911,2.70563,0.00199484,0.00199484,0.00199484
